-0.001,-0.02,-0.024,0.063,-0.001,-0.016,0.025
0.069,-0.06,-0.074,-0.001,0.091,0.125,-0.012
0.01,-0.073,0.095,0.041,-0.077,0.042,0.036
-0.115,-0.062,-0.015,-0.01,-0.011,0.061,0.03
-0.041,-0.114,-0.013,0.141,-0.08,-0.07,0.051
-0.049,-0.042,0.034,0.072,-0.064,0.068,0.038
-0.021,0.014,0.035,0.068,0.016,-0.033,-0.018
-0.001,0.02,0.098,0.075,0.018,0.027,0.038
0.013,0.006,-0.003,0.043,0.109,0.105,0.031
-0.004,-0.068,-0.006,0.101,-0.064,0.037,0.073
-0.031,-0.001,-0.128,0.06,-0.056,-0.076,-0.03
0.011,-0.11,-0.062,0.055,-0.015,-0.117,-0.105
0.007,0.003,0.027,0.085,0.057,0.006,0.078
-0.038,0.105,-0.008,0.016,0.06,-0.103,-0.059
-0.004,-0.056,0.08,0.032,-0.167,0.113,-0.044
0.042,-0.074,-0.045,0.08,0.068,0.007,0.074
0.019,0.089,-0.027,0.013,-0.019,0.174,-0.037
-0.001,0.107,0.041,0.065,-0.027,0.034,0.012
0.122,0.024,-0.013,-0.023,0.04,0.011,0.038
0.103,0.005,0.037,0.141,0.189,0.073,0.05
-0.005,0.037,0.06,0.081,-0.108,-0.104,0.053
-0.022,-0.003,0.015,0.067,0.064,0.048,-0.145
-0.031,-0.006,-0.078,-0.036,-0.087,0.049,0.018
-0.009,-0.027,-0.024,0.14,0.05,0.027,0.098
-0.001,-0.021,0.019,-0.043,-0.026,-0.108,0.069
